2020A,"Operation & Maintenance, Army",ARMY,03,Training and Recruiting,32,Basic Skill and Advanced Training,260,322,Flight Training,Y,"902,845",0,"902,845",0,0,0,0,0,0,"902,845",0,"902,845",U
2020A,"Operation & Maintenance, Army",ARMY,03,Training and Recruiting,32,Basic Skill and Advanced Training,270,323,Professional Development Education,Y,"216,583",0,"216,583","9,021",0,0,"9,021",0,"9,021","225,604",0,"225,604",U
2020A,"Operation & Maintenance, Army",ARMY,03,Training and Recruiting,32,Basic Skill and Advanced Training,280,324,Training Support,Y,"607,534","4,931","612,465","2,434",0,0,"2,434",0,"2,434","609,968","4,931","614,899",U
2020A,"Operation & Maintenance, Army",ARMY,03,Training and Recruiting,33,"Recruiting, and Other Training & Education",290,331,Recruiting and Advertising,Y,"550,599","50,000","600,599",0,0,0,0,0,0,"550,599","50,000","600,599",U
2020A,"Operation & Maintenance, Army",ARMY,03,Training and Recruiting,33,"Recruiting, and Other Training & Education",300,332,Examining,Y,"187,263",0,"187,263",0,0,0,0,0,0,"187,263",0,"187,263",U
2020A,"Operation & Maintenance, Army",ARMY,03,Training and Recruiting,33,"Recruiting, and Other Training & Education",310,333,Off-Duty and Voluntary Education,Y,"189,556",0,"189,556",0,0,0,0,0,0,"189,556",0,"189,556",U
2020A,"Operation & Maintenance, Army",ARMY,03,Training and Recruiting,33,"Recruiting, and Other Training & Education",320,334,Civilian Education and Training,Y,"182,835",0,"182,835","1,254",0,0,"1,254",0,"1,254","184,089",0,"184,089",U
2020A,"Operation & Maintenance, Army",ARMY,03,Training and Recruiting,33,"Recruiting, and Other Training & Education",330,335,Junior Reserve Officer Training Corps,Y,"171,167",0,"171,167",0,0,0,0,0,0,"171,167",0,"171,167",U
2020A,"Operation & Maintenance, Army",ARMY,04,Admin & Srvwide Activities,42,Logistics Operations,350,421,Servicewide Transportation,Y,"230,739",0,"230,739","740,400","179,999",0,"920,399","-237,014","683,385","914,124",0,"914,124",U
2020A,"Operation & Maintenance, Army",ARMY,04,Admin & Srvwide Activities,42,Logistics Operations,360,422,Central Supply Activities,Y,"850,060","1,770","851,830",0,0,0,0,0,0,"850,060","1,770","851,830",U
2020A,"Operation & Maintenance, Army",ARMY,04,Admin & Srvwide Activities,42,Logistics Operations,370,423,Logistic Support Activities,Y,"778,757",0,"778,757",0,0,0,0,0,0,"778,757",0,"778,757",U
2020A,"Operation & Maintenance, Army",ARMY,04,Admin & Srvwide Activities,42,Logistics Operations,380,424,Ammunition Management,Y,"370,010","39,000","409,010","13,974",0,0,"13,974",0,"13,974","383,984","39,000","422,984",U
