2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,30  ,0603002A,Medical Advanced Technology,Y,"68,365",0,"68,365",0,0,0,0,0,0,"68,365",0,"68,365",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,31  ,0603003A,Aviation Advanced Technology,Y,"94,280",0,"94,280",0,0,0,0,0,0,"94,280",0,"94,280",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,32  ,0603004A,Weapons and Munitions Advanced Technology,Y,"68,714",0,"68,714",0,0,0,0,0,0,"68,714",0,"68,714",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,33  ,0603005A,Combat Vehicle and Automotive Advanced Technology,Y,"122,132",0,"122,132",0,0,0,0,0,0,"122,132",0,"122,132",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,34  ,0603006A,Space Application Advanced Technology,Y,"3,904",0,"3,904",0,0,0,0,0,0,"3,904",0,"3,904",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,35  ,0603007A,"Manpower, Personnel and Training Advanced Technology",Y,"14,417",0,"14,417",0,0,0,0,0,0,"14,417",0,"14,417",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,36  ,0603009A,TRACTOR HIKE,Y,"8,074","13,300","21,374",0,0,0,0,0,0,"8,074","13,300","21,374",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,37  ,0603015A,Next Generation Training & Simulation Systems,Y,"18,969",0,"18,969",0,0,0,0,0,0,"18,969",0,"18,969",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,38  ,0603020A,TRACTOR ROSE,Y,"11,910",0,"11,910",0,0,0,0,0,0,"11,910",0,"11,910",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,39  ,0603125A,Combating Terrorism - Technology Development,Y,"27,686",0,"27,686",0,0,0,0,0,0,"27,686",0,"27,686",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,40  ,0603130A,TRACTOR NAIL,Y,"2,340",0,"2,340",0,0,0,0,0,0,"2,340",0,"2,340",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,41  ,0603131A,TRACTOR EGGS,Y,"2,470",0,"2,470",0,0,0,0,0,0,"2,470",0,"2,470",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,42  ,0603270A,Electronic Warfare Technology,Y,"27,893",0,"27,893",0,0,0,0,0,0,"27,893",0,"27,893",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,43  ,0603313A,Missile and Rocket Advanced Technology,Y,"52,190",0,"52,190",0,0,0,0,0,0,"52,190",0,"52,190",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,44  ,0603322A,TRACTOR CAGE,Y,"11,107",0,"11,107",0,0,0,0,0,0,"11,107",0,"11,107",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,45  ,0603461A,High Performance Computing Modernization Program,Y,"177,190",0,"177,190",0,0,0,0,0,0,"177,190",0,"177,190",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,46  ,0603606A,Landmine Warfare and Barrier Advanced Technology,Y,"17,451",0,"17,451",0,0,0,0,0,0,"17,451",0,"17,451",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,47  ,0603607A,Joint Service Small Arms Program,Y,"5,839",0,"5,839",0,0,0,0,0,0,"5,839",0,"5,839",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,48  ,0603710A,Night Vision Advanced Technology,Y,"44,468",0,"44,468",0,0,0,0,0,0,"44,468",0,"44,468",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,49  ,0603728A,Environmental Quality Technology Demonstrations,Y,"11,137",0,"11,137",0,0,0,0,0,0,"11,137",0,"11,137",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,50  ,0603734A,Military Engineering Advanced Technology,Y,"20,684",0,"20,684",0,0,0,0,0,0,"20,684",0,"20,684",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,51  ,0603772A,Advanced Tactical Computer Science and Sensor Technology,Y,"44,239",0,"44,239",0,0,0,0,0,0,"44,239",0,"44,239",U
2040A,"Research, Development, Test & Eval, Army",ARMY,03,Advanced Technology Development,52  ,0603794A,C3 Advanced Technology,Y,"35,775",0,"35,775",0,0,0,0,0,0,"35,775",0,"35,775",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,53  ,0603305A,Army Missle Defense Systems Integration,Y,"9,433",0,"9,433",0,0,0,0,0,0,"9,433",0,"9,433",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,54  ,0603308A,Army Space Systems Integration,Y,"23,056",0,"23,056","9,375",0,0,"9,375",0,"9,375","32,431",0,"32,431",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,55  ,0603327A,Air and Missile Defense Systems Engineering,Y,0,"14,200","14,200",0,0,0,0,0,0,0,"14,200","14,200",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,56  ,0603619A,Landmine Warfare and Barrier - Adv Dev,Y,"72,117",0,"72,117",0,0,0,0,0,0,"72,117",0,"72,117",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,57  ,0603627A,"Smoke, Obscurant and Target Defeating Sys-Adv Dev",Y,"28,244",0,"28,244",0,0,"16,020","16,020",0,"16,020","28,244","16,020","44,264",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,58  ,0603639A,Tank and Medium Caliber Ammunition,Y,"40,096","2,000","42,096",0,0,0,0,0,0,"40,096","2,000","42,096",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,59  ,0603747A,Soldier Support and Survivability,Y,"10,506",0,"10,506",0,0,0,0,0,0,"10,506",0,"10,506",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,60  ,0603766A,Tactical Electronic Surveillance System - Adv Dev,Y,"15,730",0,"15,730",0,0,0,0,0,0,"15,730",0,"15,730",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,61  ,0603774A,Night Vision Systems Advanced Development,Y,"10,321",0,"10,321",0,0,0,0,0,0,"10,321",0,"10,321",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,62  ,0603779A,Environmental Quality Technology - Dem/Val,Y,"7,785",0,"7,785",0,0,0,0,0,0,"7,785",0,"7,785",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,63  ,0603790A,NATO Research and Development,Y,"2,300",0,"2,300",0,0,0,0,0,0,"2,300",0,"2,300",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,64  ,0603801A,Aviation - Adv Dev,Y,"10,014",0,"10,014",0,0,0,0,0,0,"10,014",0,"10,014",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,65  ,0603804A,Logistics and Engineer Equipment - Adv Dev,Y,"20,834",0,"20,834",0,0,0,0,0,0,"20,834",0,"20,834",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,66  ,0603807A,Medical Systems - Adv Dev,Y,"33,503",0,"33,503",0,0,0,0,0,0,"33,503",0,"33,503",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,67  ,0603827A,Soldier Systems - Advanced Development,Y,"31,120",0,"31,120",0,0,0,0,0,0,"31,120",0,"31,120",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,68  ,0604100A,Analysis Of Alternatives,Y,"6,608",0,"6,608",0,0,0,0,0,0,"6,608",0,"6,608",U
